YEAR,Avg_Egypt_Temperature,Total_Egypt_Precipitation,Avg_Egypt_Evaporation,Avg_Egypt_Soil_Moisture,Production_MT,Crops_Tomatoes_Production_Ton,Crops_Wheat_Production_Ton
2000,24.296234567901223,642.6900000000003,4.7814506172839515,0.4285802469135801,340093.0,6785640.0,6564053.0
2001,24.253518518518522,568.6500000000001,4.773364197530861,0.4270061728395061,342864.0,6328720.0,6254583.0
2002,24.268271604938295,664.6700000000001,4.769876543209874,0.4271913580246909,376296.0,6777875.0,6624868.0
2003,24.417623456790118,657.9600000000006,4.810154320987655,0.4278703703703703,445181.0,7140198.0,6844692.0
2004,24.261604938271603,522.4499999999998,4.765246913580246,0.42839506172839475,471535.0,7640818.0,7177855.0
2005,24.42925925925925,615.9200000000003,4.7983333333333364,0.4260493827160491,539748.0,7600000.0,8140960.0
2006,24.442006172839516,615.1900000000002,4.8180246913580245,0.42682098765432114,595030.0,8576070.0,8274230.0
2007,24.514135802469138,629.41,4.830246913580248,0.42577160493827176,635516.0,8639024.0,7379000.0
2008,24.55817901234567,593.56,4.8596296296296275,0.4227777777777775,693765.0,9204097.0,7977051.0
2009,24.6296296296296,616.1200000000006,4.841203703703703,0.42604938271604925,705490.0,10278539.0,8522995.0
2010,24.603734567901245,638.0499999999998,4.821975308641972,0.4276234567901233,919585.0,8544993.0,7177399.0
2011,24.780895061728405,652.0899999999997,4.8295061728395074,0.42456790123456767,986820.0,8105263.0,8407126.0
2012,24.811450617283935,639.8300000000003,4.866543209876543,0.4231790123456791,1017738.0,8625219.0,8795483.0
2013,24.856327160493805,594.9000000000003,4.883271604938271,0.42432098765432114,1097544.0,8290551.0,9460200.0
2014,24.920154320987642,605.8100000000001,4.865432098765436,0.42367283950617296,1137091.0,8288043.0,8800000.0
2015,24.987932098765434,654.74,4.88382716049383,0.4238580246913577,1174831.0,7737827.0,9607736.0
2016,25.070401234567893,628.7700000000001,4.884413580246916,0.4241666666666668,1370660.0,7320714.0,9342538.0
2017,25.096728395061735,595.9200000000003,4.876790123456792,0.4241666666666668,1406864.5,6729004.0,8421071.0
2018,24.93515432098766,632.9799999999996,4.886327160493828,0.4236111111111112,1594231.0,6777754.0,8348629.0
2019,25.13222222222224,630.0600000000001,4.897777777777779,0.4230864197530863,1641949.0,6814460.0,8558807.0
2020,25.1170061728395,621.6299999999998,4.866388888888886,0.4224074074074071,1591896.0,6493950.0,9101785.0
2021,25.261759259259264,616.08,4.903950617283952,0.41873456790123437,1576189.4,6389295.0,9842410.95
2022,25.245895061728383,642.7599999999995,4.947839506172841,0.4205864197530862,1552430.0,6367592.0,9622993.0
2023,25.267222222222223,621.7299999999999,4.9041358024691375,0.4231172839506171,1552430.0,7115604.0,9065380.0
